,N,M,Method,Error,Computation Time
447,128,20,Scipy,0.0,0.0009975433349609375
448,128,30,Arnoldi,1.212144778414922e-15,0.006085991859436035
449,128,40,Lanzcos,8.91663053790526e-16,0.0041916131973266605
450,128,50,Scipy,0.0,0.0009975433349609375
451,128,60,Arnoldi,1.212144778414922e-15,0.01655406951904297
452,128,70,Lanzcos,1.9357088957739186e-15,0.00648047924041748
453,128,80,Scipy,0.0,0.0009975433349609375
454,128,90,Arnoldi,1.212144778414922e-15,0.03510606288909912
455,128,100,Lanzcos,1.9357088957739186e-15,0.008479619026184082
456,256,1,Scipy,0.0,0.0009975433349609375
457,256,2,Arnoldi,4.052067140076011e-09,0.0009975671768188477
458,256,3,Lanzcos,4.943258837029e-15,0.0013919115066528321
459,256,4,Scipy,0.0,0.0009975433349609375
460,256,5,Arnoldi,1.5315908837550256e-15,0.0014960527420043944
461,256,6,Lanzcos,1.343689750953623e-15,0.0016954898834228515
462,256,7,Scipy,0.0,0.0009975433349609375
463,256,8,Arnoldi,1.5315908837550256e-15,0.0021940946578979494
464,256,9,Lanzcos,1.343689750953623e-15,0.002293896675109863
465,256,10,Scipy,0.0,0.0009975433349609375
466,256,20,Arnoldi,1.5315908837550256e-15,0.003989291191101074
467,256,30,Lanzcos,1.343689750953623e-15,0.003989386558532715
468,256,40,Scipy,0.0,0.0009975433349609375
469,256,50,Arnoldi,1.5315908837550256e-15,0.013364219665527343
470,256,60,Lanzcos,1.343689750953623e-15,0.006081938743591309
471,256,70,Scipy,0.0,0.0009975433349609375
472,256,80,Arnoldi,1.5315908837550256e-15,0.030817532539367677
473,256,90,Lanzcos,1.343689750953623e-15,0.008479428291320801
474,256,100,Scipy,0.0,0.0009975433349609375
475,256,1,Arnoldi,0.00017210446703035787,0.0008975744247436523
476,256,2,Lanzcos,9.337890765432138e-10,0.0014960527420043944
477,256,3,Scipy,0.0,0.0009975433349609375
478,256,4,Arnoldi,1.5315908837550256e-15,0.0013962030410766602
479,256,5,Lanzcos,1.343689750953623e-15,0.0015956878662109375
480,256,6,Scipy,0.0,0.0009975433349609375
481,256,7,Arnoldi,1.5315908837550256e-15,0.001498842239379883
482,256,8,Lanzcos,1.343689750953623e-15,0.0017934083938598634
483,256,9,Scipy,0.0,0.0009975433349609375
484,256,10,Arnoldi,1.5315908837550256e-15,0.0019951105117797852
485,256,20,Lanzcos,1.343689750953623e-15,0.003091764450073242
486,256,30,Scipy,0.0,0.0009975433349609375
487,256,40,Arnoldi,1.5315908837550256e-15,0.009873509407043457
488,256,50,Lanzcos,1.343689750953623e-15,0.005285811424255371
489,256,60,Scipy,0.0,0.0009975433349609375
490,256,70,Arnoldi,1.5315908837550256e-15,0.023739123344421388
491,256,80,Lanzcos,1.929846341739984e-15,0.00757911205291748
492,256,90,Scipy,0.0,0.0009975433349609375
493,256,100,Arnoldi,1.5315908837550256e-15,0.04687685966491699
494,256,1,Lanzcos,0.00015654428957569052,0.0007954597473144531
495,256,2,Scipy,0.0,0.0009975433349609375
496,256,3,Arnoldi,3.712910520783562e-14,0.001100015640258789
497,256,4,Lanzcos,1.343689750953623e-15,0.0018919944763183595
498,256,5,Scipy,0.0,0.0009975433349609375
499,256,6,Arnoldi,1.5315908837550256e-15,0.0017952203750610351
500,256,7,Lanzcos,3.0444763961916714e-15,0.001894831657409668
501,256,8,Scipy,0.0,0.0009975433349609375
502,256,9,Arnoldi,1.5315908837550256e-15,0.001997065544128418
503,256,10,Lanzcos,1.343689750953623e-15,0.0025931358337402343
504,256,20,Scipy,0.0,0.0009975433349609375
505,256,30,Arnoldi,1.5315908837550256e-15,0.006085991859436035
506,256,40,Lanzcos,1.343689750953623e-15,0.004984307289123535
507,256,50,Scipy,0.0,0.0009975433349609375
508,256,60,Arnoldi,1.5315908837550256e-15,0.018550348281860352
509,256,70,Lanzcos,1.343689750953623e-15,0.006981325149536133
510,256,80,Scipy,0.0,0.0009975433349609375
511,256,90,Arnoldi,1.5315908837550256e-15,0.038599252700805664
512,256,100,Lanzcos,1.343689750953623e-15,0.008577084541320801
513,512,1,Scipy,0.0,0.0009965896606445312
514,512,2,Arnoldi,3.706818105515717e-10,0.0010970354080200196
515,512,3,Lanzcos,2.379594529688331e-15,0.0014960527420043944
516,512,4,Scipy,0.0,0.0009965896606445312
517,512,5,Arnoldi,2.0472048632728357e-15,0.001795196533203125
518,512,6,Lanzcos,2.51657994460705e-15,0.0018971681594848633
519,512,7,Scipy,0.0,0.0009965896606445312
520,512,8,Arnoldi,2.0472048632728357e-15,0.001994824409484863
